Source,Title,Author,Type,Themes,Tones,Avg Rating,Pages,Year,Date Added,Similar To,BBRE Score,Why Youd Like It,Why You Might Not,Keep (Y/N/Maybe)
to-read,Bring Me Back,B.A. Paris,fiction,"thriller, psychological, suspense","fast-paced, twisty, tense, dark",3.4,291,2018,2023/11/04,"Behind Closed Doors, Before I Go to Sleep, Shari Lapena",44,"Fast-paced thriller. If you like Shari Lapena, this hits the same notes.",Below-average community rating (3.4/5) — may underdeliver. Dark or heavy subject matter.,
to-read,"For Blood and Money: Billionaires, Biotech, and the Quest for a Blockbuster Drug",Nathan Vardi,nonfiction,"finance, narrative nonfiction, business","accessible, narrative-driven, dense",3.9,288,2023,2023/07/01,"Flash Boys: A Wall Street Revolt, The Big Short: Inside the Doomsday Machine, Michael Lewis",44,"Narrative nonfiction — reads like a novel about finance. If you like Michael Lewis, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Why Has Nobody Told Me This Before?: An International Bestselling Guide to Mental Health and Emotional Resilience from a Clinical Psychologist,Julie Smith,nonfiction,"psychology, narrative nonfiction","accessible, narrative-driven, dense",4.3,368,2022,2022/09/13,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed, Educated, Lori Gottlieb",44,"Narrative nonfiction — reads like a novel about psychology. If you like Lori Gottlieb, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Riding the Lightning: A Year in the Life of a New York City Paramedic,Anthony Almojera,nonfiction,"memoir, narrative nonfiction","character-study, narrative-driven, accessible, personal",4,243,2022,2022/05/31,"When Breath Becomes Air, This is Going to Hurt: Secret Diaries of a Junior Doctor, Paul Kalanithi",44,"Personal, candid memoir. If you like Paul Kalanithi, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,"L.A. Son: My Life, My City, My Food",Roy Choi,nonfiction,"memoir, narrative nonfiction","character-study, narrative-driven, accessible, personal",3.9,352,2013,2021/08/23,"Eat a Peach, Yes, Chef, David Chang",44,"Personal, candid memoir. If you like David Chang, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Bitter Brew: The Rise and Fall of Anheuser-Busch and America's Kings of Beer,William Knoedelseder,nonfiction,"business, history, narrative nonfiction","narrative-driven, accessible, dense",4.1,416,2012,2020/09/25,"Pappyland: A Story of Family, Fine Bourbon, and the Things That Last, Beyond the Pale: The Story of Sierra Nevada Brewing Co., Wright Thompson",44,"Narrative nonfiction — reads like a novel about business. If you like Wright Thompson, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Talking to GOATs: The Moments You Remember and the Stories You Never Heard,Jim Gray,nonfiction,"sports, biography, narrative nonfiction","narrative-driven, accessible, character-study",4,336,2020,2020/11/13,"Three-Ring Circus: Kobe, Shaq, Phil, and the Crazy Years of the Lakers Dynasty, Dream Team: How Michael, Magic, Larry, Charles, and the Greatest Team of All Time Conquered the World and Changed the Game of Basketball Forever, Jeff Pearlman",44,"In-depth biography. If you like Jeff Pearlman, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,The Answer Is…: Reflections on My Life,Alex Trebek,nonfiction,"memoir, narrative nonfiction","character-study, narrative-driven, accessible, personal",4.1,304,2020,2020/09/15,"A Life in Parts, Yearbook, Bryan Cranston",44,"Personal, candid memoir. If you like Bryan Cranston, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
candidate pool,The Passengers,John Marrs,fiction,"speculative, thriller, tech history",,4.05,352,2019,,"Upgrade, Project Hail Mary, Blake Crouch",44,"Fast-paced thriller. If you like Blake Crouch, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,Invasion of Privacy,Perri O'Shaughnessy,fiction,"thriller, legal, courtroom, crime",,3.93,419,1996,,"Presumed Innocent, The Client, John Grisham",44,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,This Land Is Your Land: A Road Trip Through U.S. History,Beverly Gage,nonfiction,"history, narrative nonfiction","accessible, narrative-driven, dense",3.9,352,2026,2026/03/18,"A Promised Land, The Accidental President: Harry S. Truman and the Four Months That Changed the World, Barack Obama",43,"Narrative nonfiction — reads like a novel about history. If you like Barack Obama, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,"Loose Balls: The Short, Wild Life of the American Basketball Association",Terry Pluto,nonfiction,"sports, history, narrative nonfiction","narrative-driven, accessible, dense",4.2,450,1991,2026/02/25,"Dream Team: How Michael, Magic, Larry, Charles, and the Greatest Team of All Time Conquered the World and Changed the Game of Basketball Forever, Three-Ring Circus: Kobe, Shaq, Phil, and the Crazy Years of the Lakers Dynasty, Jack McCallum",43,"Narrative nonfiction — reads like a novel about sports. If you like Jack McCallum, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Tiger Chair,Max Brooks,fiction,"thriller, speculative","fast-paced, multiple-pov, atmospheric, slow-burn",3.8,49,2024,2024/06/05,"World War Z: An Oral History of the Zombie War, The Postmortal, Drew Magary",43,"Fast-paced thriller. If you like Drew Magary, this hits the same notes.",Modest rating (3.8/5). Short at 49 pages — may feel slight.,
to-read,The Last of His Kind: Clayton Kershaw and the Burden of Greatness,Andy McCullough,nonfiction,"sports, biography, narrative nonfiction","narrative-driven, accessible, character-study",4.1,400,2024,2024/05/05,"Doc: The Life of Roy Halladay, Charlie Hustle: The Rise and Fall of Pete Rose, and the Last Glory Days of Baseball, Todd Zolecki",43,"In-depth biography. If you like Todd Zolecki, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Refund: Stories,Karen E. Bender,fiction,"literary, contemporary","character-driven, slow-burn, atmospheric",3.5,256,2015,2024/04/13,"The Invisible Life of Addie LaRue, Tomorrow, and Tomorrow, and Tomorrow, V.E. Schwab",43,"Rich character work and atmospheric prose. If you like V.E. Schwab, this hits the same notes.",Below-average community rating (3.5/5) — may underdeliver. Slow-burn pacing — not a fast thriller.,
to-read,"A Killer's Alibi (Philadelphia Legal, #3)",William L. Myers Jr.,fiction,"legal, thriller, courtroom","fast-paced, procedural, tense, plot-driven",4.3,431,2019,2022/02/02,"A Time to Kill (Jake Brigance, #1), Pleading Guilty (Kindle County, #3), John Grisham",43,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Entrances and Exits,Michael Richards,nonfiction,"memoir, humor, narrative nonfiction","conversational, character-study, humorous, narrative-driven",3.7,425,2024,2023/11/08,"Yearbook, A Life in Parts, Seth Rogen",43,"Personal, candid memoir. If you like Seth Rogen, this hits the same notes.",Modest rating (3.7/5).,
to-read,"The Jury Master (David Sloane, #1)",Robert Dugoni,fiction,"legal, thriller, courtroom","fast-paced, procedural, tense, plot-driven",4,449,2008,2022/02/02,"A Time to Kill (Jake Brigance, #1), Presumed Innocent, John Grisham",43,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Humans,Matt Haig,fiction,"speculative, literary, philosophical","heartwarming, humorous, accessible, slow-burn",4,285,2013,2021/03/01,"The Midnight Library (The Midnight World, #1), The Invisible Life of Addie LaRue, V.E. Schwab",43,"Inventive speculative premise. If you like V.E. Schwab, this hits the same notes.",Slow-burn pacing — not a fast thriller.,
to-read,Football For A Buck: The Crazy Rise and Crazier Demise of the USFL,Jeff Pearlman,nonfiction,"sports, narrative nonfiction, history","humorous, conversational, accessible",4.1,384,2018,2020/10/09,"Three-Ring Circus: Kobe, Shaq, Phil, and the Crazy Years of the Lakers Dynasty, The Last Folk Hero: The Life and Myth of Bo Jackson, Jack McCallum",43,"Narrative nonfiction — reads like a novel about sports. If you like Jack McCallum, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
candidate pool,What Happened to the Bennetts,Lisa Scottoline,fiction,"thriller, crime, legal",,3.85,391,2022,,"The Firm (The Firm, #1), The Client, John Grisham",43,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",Modest rating (3.85/5). Mixed reader reactions.,
candidate pool,Black Hawk Down,Mark Bowden,nonfiction,"military, history, narrative nonfiction",,4.3,386,1999,,"Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission, The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War, Alfred Lansing",43,"Narrative nonfiction with a propulsive story. If you like Alfred Lansing, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Confessions of a Street Addict,James J. Cramer,nonfiction,"finance, wall street, biography","fast-paced, conversational, narrative-driven, accessible",3.7,352,2003,2026/05/21,"Flash Boys: A Wall Street Revolt, The Big Short: Inside the Doomsday Machine, Michael Lewis",42,"In-depth biography. If you like Michael Lewis, this hits the same notes.",Modest rating (3.7/5). Nonfiction with dense material — requires focus.,
to-read,Everybody Loses: The Tumultuous Rise of American Sports Gambling,Danny Funt,nonfiction,"sports, business, narrative nonfiction","investigative, dark, revelatory",3.8,320,2026,2026/03/03,"The Formula: How Rogues, Geniuses, and Speed Freaks Reengineered F1 into the World's Fastest-Growing Sport—A High-Octane History of Formula 1's Rise in America, Super Pumped: The Battle for Uber, Jeff Pearlman",42,"Narrative nonfiction — reads like a novel about sports. If you like Jeff Pearlman, this hits the same notes.",Modest rating (3.8/5). Dark or heavy subject matter.,
to-read,You With the Sad Eyes,Christina Applegate,nonfiction,"memoir, narrative nonfiction","character-study, narrative-driven, accessible, personal",4,304,2026,2026/02/26,"When Breath Becomes Air, A Life in Parts, Paul Kalanithi",42,"Personal, candid memoir. If you like Paul Kalanithi, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,The Intruder,Freida McFadden,fiction,"thriller, psychological, suspense","fast-paced, twisty, unreliable-narrator, tense",4.1,279,2025,2025/10/02,"Never Lie, The Teacher, B.A. Paris",42,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,fiction,"sci-fi, speculative, literary","dense, atmospheric, slow-burn",4.3,600,2015,2026/01/21,"Seveneves, Project Hail Mary, Neal Stephenson",42,"Inventive speculative premise. If you like Neal Stephenson, this hits the same notes.","Slow-burn pacing — not a fast thriller. Dense, academic-leaning tone.",
to-read,"Shuttle, Houston: My Life in the Center Seat of Mission Control",Paul Dye,nonfiction,"narrative nonfiction, history, adventure","narrative-driven, fast-paced, accessible, dense",3.9,288,2020,2025/06/05,"When the Heavens Went on Sale: The Misfits and Geniuses Racing to Put Space Within Reach, Into Thin Air, Ashlee Vance",42,"Narrative nonfiction — reads like a novel about history. If you like Ashlee Vance, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,The Gatekeepers: How the White House Chiefs of Staff Define Every Presidency,Chris Whipple,nonfiction,"history, biography, narrative nonfiction","narrative-driven, character-study, accessible, dense",4,384,2017,2025/04/12,"A Promised Land, The Accidental President: Harry S. Truman and the Four Months That Changed the World, Barack Obama",42,"In-depth biography. If you like Barack Obama, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,fiction,"historical, literary, adventure","slow-burn, atmospheric, fast-paced, character-driven",4.5,960,1999,2025/01/11,"The Great Alone, Where the Crawdads Sing, Kristin Hannah",42,"Rich character work and atmospheric prose. If you like Kristin Hannah, this hits the same notes.",Long commitment at 960 pages.,
to-read,Skippy Dies,Paul Murray,fiction,"literary, coming-of-age","character-driven, slow-burn, atmospheric, heartwarming",3.9,661,2010,2023/11/18,"Looking for Alaska, Paper Towns, John Green",42,"Rich character work and atmospheric prose. If you like John Green, this hits the same notes.",Slow-burn pacing — not a fast thriller. Character-driven literary fiction — light on plot momentum.,
to-read,Truly Madly Guilty,Liane Moriarty,fiction,"thriller, literary, psychological","character-driven, tense, fast-paced, slow-burn",3.8,432,2016,2023/11/14,"Behind Closed Doors, Remarkably Bright Creatures, B.A. Paris",42,"Tense thriller. If you like B.A. Paris, this hits the same notes.",Modest rating (3.8/5).,
to-read,Mr. Texas,Lawrence Wright,fiction,"literary, political, contemporary","character-driven, slow-burn, investigative, atmospheric",3.7,323,2023,2023/06/17,"The Plot (The Book Series, #1), Lake Success, Jean Hanff Korelitz",42,"Rich character work and atmospheric prose. If you like Jean Hanff Korelitz, this hits the same notes.",Modest rating (3.7/5). Slow-burn pacing — not a fast thriller.,
candidate pool,The It Girl,Ruth Ware,fiction,"thriller, psychological, mystery, crime",,3.84,423,2022,,"The Guest List, The Silent Patient, B.A. Paris",42,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",Modest rating (3.84/5). Mixed reader reactions.,
candidate pool,The Covenant of Water,Abraham Verghese,fiction,"literary, historical",,4.4,724,2023,,"The Seven Husbands of Evelyn Hugo, Where the Crawdads Sing, Kristin Hannah",42,"Historical fiction with rich atmosphere. If you like Kristin Hannah, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,"Big Fan: Two Friends, 82,490 Miles, and the Wild, Wonderful Sports We Love",Michael Schur,nonfiction,"sports, humor, narrative nonfiction","narrative-driven, accessible, humorous, conversational",4.2,448,2026,2025/11/06,"Fantasyland: True Tales from America's Most Compulsive Fantasy Baseball League, I Wear the Black Hat: Grappling with Villains (Real and Imagined), Chuck Klosterman",41,"Narrative nonfiction — reads like a novel about sports. If you like Chuck Klosterman, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,My Friends,Fredrik Backman,fiction,"literary, contemporary","character-driven, slow-burn, atmospheric",4.1,436,2025,2025/08/10,"Remarkably Bright Creatures, The Midnight Library (The Midnight World, #1), Shelby Van Pelt",41,"Rich character work and atmospheric prose. If you like Shelby Van Pelt, this hits the same notes.",Slow-burn pacing — not a fast thriller. Character-driven literary fiction — light on plot momentum.,
to-read,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,nonfiction,"true crime, narrative nonfiction, history","narrative-driven, accessible, tense, dark",4.2,432,2004,2025/02/03,"American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road, Into Thin Air, Nick Bilton",41,"Gripping true crime narrative. If you like Nick Bilton, this hits the same notes.",Dark or heavy subject matter.,
to-read,Lifeform,Jenny Slate,fiction,"literary, speculative, humor","slow-burn, atmospheric, character-driven, humorous",3.7,240,2024,2024/10/12,"The Invisible Life of Addie LaRue, Remarkably Bright Creatures, V.E. Schwab",41,"Inventive speculative premise. If you like V.E. Schwab, this hits the same notes.",Modest rating (3.7/5). Slow-burn pacing — not a fast thriller.,
to-read,Come and Get It,Kiley Reid,fiction,"literary, contemporary","character-driven, slow-burn, atmospheric",3.5,400,2024,2023/10/05,"Lake Success, Tomorrow, and Tomorrow, and Tomorrow, Gary Shteyngart",41,"Rich character work and atmospheric prose. If you like Gary Shteyngart, this hits the same notes.",Below-average community rating (3.5/5) — may underdeliver. Slow-burn pacing — not a fast thriller.,
to-read,Into the Water,Paula Hawkins,fiction,"thriller, psychological, mystery","tense, fast-paced, dark, procedural",3.5,392,2018,2022/04/19,"The Silent Patient, The Woman in the Window, B.A. Paris",41,"Tense thriller. If you like B.A. Paris, this hits the same notes.",Below-average community rating (3.5/5) — may underdeliver. Dark or heavy subject matter.,
candidate pool,Southern Man,Greg Iles,fiction,"thriller, legal, noir, crime",,4.1,912,2024,,"The Boys from Biloxi, A Time to Kill (Jake Brigance, #1), John Grisham",41,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,The Twyford Code,Janice Hallett,fiction,"mystery, adventure",,3.9,368,2022,,"The Guest List, The Silent Patient, Alice Feeney",41,"Fast-paced thriller. If you like Alice Feeney, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,"Everyone Who Is Gone Is Here: The United States, Central America, and the Making of a Crisis",Jonathan Blitzer,nonfiction,"narrative nonfiction, history","investigative, narrative-driven, dense",4.2,544,2024,2024/12/28,"Evicted: Poverty and Profit in the American City, A Promised Land, Matthew Desmond",40,"Narrative nonfiction — reads like a novel about history. If you like Matthew Desmond, this hits the same notes.","Dense, academic-leaning tone. Long commitment at 544 pages.",
to-read,The Wise Men: Six Friends and the World They Made,Walter Isaacson,nonfiction,"history, biography, narrative nonfiction","accessible, narrative-driven, inspiring, character-study",4.2,864,1997,2023/11/20,"Steve Jobs, The Accidental President: Harry S. Truman and the Four Months That Changed the World, A.J. Baime",40,"In-depth biography. If you like A.J. Baime, this hits the same notes.",Long commitment at 864 pages.,
to-read,Mean Baby: A Memoir of Growing Up,Selma Blair,nonfiction,"memoir, narrative nonfiction","character-study, narrative-driven, accessible, personal",3.9,320,2022,2023/11/14,"When Breath Becomes Air, A Life in Parts, Paul Kalanithi",40,"Personal, candid memoir. If you like Paul Kalanithi, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",Seth Stephens-Davidowitz,nonfiction,"narrative nonfiction, psychology, tech history","accessible, narrative-driven, dense",4,338,2017,2023/10/21,"The Hot Hand: The Mystery and Science of Streaks, Flash Boys: A Wall Street Revolt, Ben Cohen",40,"Narrative nonfiction — reads like a novel about psychology. If you like Ben Cohen, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,"Hello, Molly!: A Memoir",Molly Shannon,nonfiction,"humor, memoir, narrative nonfiction","conversational, character-study, humorous, narrative-driven",4,291,2022,2022/09/13,"Yearbook, A Life in Parts, Seth Rogen",40,"Personal, candid memoir. If you like Seth Rogen, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
candidate pool,Hidden Potential,Adam Grant,nonfiction,"psychology, business",,4.07,304,2023,,"Educated, Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed, Walter Isaacson",40,"Narrative nonfiction — reads like a novel about finance. If you like Walter Isaacson, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,A Gentleman in Moscow,Amor Towles,fiction,history,,4.4,480,2016,,"Remarkably Bright Creatures, The Seven Husbands of Evelyn Hugo, Anthony Doerr",40,"Engaging fiction. If you like Anthony Doerr, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,"The Best Minds: A Story of Friendship, Madness, and the Tragedy of Good Intentions",Jonathan Rosen,nonfiction,"narrative nonfiction, psychology, history","narrative-driven, accessible, dense",4.1,576,2023,2024/05/08,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed, Dopesick: Dealers, Doctors, and the Drug Company that Addicted America, Lori Gottlieb",39,"Narrative nonfiction — reads like a novel about psychology. If you like Lori Gottlieb, this hits the same notes.",Long commitment at 576 pages.,
to-read,The Mother Tongue: English and How It Got That Way,Bill Bryson,nonfiction,"humor, history, narrative nonfiction","humorous, accessible, conversational, narrative-driven",3.9,270,1991,2024/04/26,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto, I Wear the Black Hat: Grappling with Villains (Real and Imagined), Chuck Klosterman",39,"Narrative nonfiction — reads like a novel about humor. If you like Chuck Klosterman, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Bad Haircut: Stories from the Seventies,Tom Perrotta,fiction,"literary, coming-of-age","slow-burn, character-driven, satirical, atmospheric",3.6,244,2012,2023/05/31,"Little Children, Tracy Flick Can't Win, John Green",39,"Rich character work and atmospheric prose. If you like John Green, this hits the same notes.",Below-average community rating (3.6/5) — may underdeliver. Slow-burn pacing — not a fast thriller.,
to-read,"Not Forever, But For Now",Chuck Palahniuk,fiction,"literary, humor, speculative","slow-burn, atmospheric, character-driven, humorous",3.4,256,2023,2023/05/27,"Raised in Captivity: Fictional Nonfiction, I Wear the Black Hat: Grappling with Villains (Real and Imagined), Chuck Klosterman",39,"Inventive speculative premise. If you like Chuck Klosterman, this hits the same notes.",Below-average community rating (3.4/5) — may underdeliver. Slow-burn pacing — not a fast thriller.,
to-read,The Fiddler in the Subway: The Story of the World-Class Violinist Who Played for Handouts. . . And Other Virtuoso Performances by America's Foremost Feature Writer,Gene Weingarten,nonfiction,"narrative nonfiction, history","narrative-driven, accessible, dense",4,384,2010,2022/05/16,"One Day: The Extraordinary Story of an Ordinary 24 Hours in America, I Wear the Black Hat: Grappling with Villains (Real and Imagined), Chuck Klosterman",39,"Narrative nonfiction — reads like a novel about history. If you like Chuck Klosterman, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,The Infiltrator: My Secret Life Inside the Dirty Banks Behind Pablo Escobar's Medellín Cartel,Robert Mazur,nonfiction,"true crime, narrative nonfiction, investigative journalism","investigative, dark, immersive-journalism, narrative-driven",4.1,384,2009,2022/05/06,"American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road, Dopesick: Dealers, Doctors, and the Drug Company that Addicted America, Nick Bilton",39,"Gripping true crime narrative. If you like Nick Bilton, this hits the same notes.",Dark or heavy subject matter.,
to-read,"Gwendy's Final Task (The Button Box, #3)",Stephen King,fiction,"speculative, thriller, literary","fast-paced, dark, atmospheric",4,288,2022,2022/05/16,"The Outsider, Elevation, Blake Crouch",39,"Fast-paced thriller. If you like Blake Crouch, this hits the same notes.",Dark or heavy subject matter.,
candidate pool,Book Lovers,Emily Henry,fiction,"romance, literary",,4.09,416,2022,,"Daisy Jones & The Six, Malibu Rising, Taylor Jenkins Reid",39,"Character-driven literary fiction. If you like Taylor Jenkins Reid, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,1929: Inside the Greatest Crash in Wall Street History--and How It Shattered a Nation,Andrew Ross Sorkin,nonfiction,"finance, wall street, history","dense, fast-paced, investigative, narrative-driven",4,592,2025,2026/03/12,"The Big Short: Inside the Doomsday Machine, Flash Boys: A Wall Street Revolt, Michael Lewis",38,"Compelling history narrative. If you like Michael Lewis, this hits the same notes.","Dense, academic-leaning tone. Long commitment at 577 pages.",
to-read,"Comedy Samurai: Forty Years of Blood, Guts, and Laughter",Larry Charles,nonfiction,"memoir, humor, narrative nonfiction","conversational, character-study, humorous, narrative-driven",3.8,400,2025,2025/08/15,"Yearbook, A Life in Parts, Seth Rogen",38,"Personal, candid memoir. If you like Seth Rogen, this hits the same notes.",Modest rating (3.8/5).,
to-read,Influence Empire: The Story of Tencent and China's Tech Ambition,Lulu Yilun Chen,nonfiction,"tech history, business, narrative nonfiction","narrative-driven, accessible, investigative, dense",3.7,320,2022,2024/02/22,"Super Pumped: The Battle for Uber, The Everything Store: Jeff Bezos and the Age of Amazon, Mike Isaac",38,"Narrative nonfiction — reads like a novel about tech history. If you like Mike Isaac, this hits the same notes.",Modest rating (3.7/5).,
to-read,Have I Told You This Already?: Stories I Don't Want to Forget to Remember,Lauren Graham,nonfiction,"humor, memoir, narrative nonfiction","conversational, character-study, humorous, narrative-driven",3.5,208,2023,2023/09/07,"Yearbook, A Life in Parts, Seth Rogen",38,"Personal, candid memoir. If you like Seth Rogen, this hits the same notes.",Below-average community rating (3.5/5) — may underdeliver.,
to-read,Termination Shock,Neal Stephenson,fiction,"sci-fi, speculative, literary","slow-burn, atmospheric, character-driven",3.5,708,2021,2021/07/21,"Seveneves, Dark Matter, Blake Crouch",38,"Inventive speculative premise. If you like Blake Crouch, this hits the same notes.",Below-average community rating (3.5/5) — may underdeliver. Slow-burn pacing — not a fast thriller.,
candidate pool,The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,fiction,"mystery, speculative, crime",,3.93,497,2018,,"The Guest List, The Silent Patient, Agatha Christie",38,"Fast-paced thriller. If you like Agatha Christie, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,"The Idaho Four: An American Tragedy (James Patterson True Crime, 3)",James Patterson,nonfiction,"true crime, narrative nonfiction, investigative journalism","fast-paced, plot-driven, compulsive, investigative",3.9,448,2025,2025/12/06,"American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road, Dopesick: Dealers, Doctors, and the Drug Company that Addicted America, Nick Bilton",37,"Gripping true crime narrative. If you like Nick Bilton, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Blood and Thunder: An Epic of the American West,Hampton Sides,nonfiction,"history, narrative nonfiction, military","narrative-driven, gritty, accessible, dense",4.2,460,2006,2025/04/04,"Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission, The Arsenal of Democracy: FDR, Detroit, and an Epic Quest to Arm an America at War, A.J. Baime",37,"Narrative nonfiction — reads like a novel about history. If you like A.J. Baime, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Bossypants,Tina Fey,nonfiction,"humor, memoir, narrative nonfiction","conversational, character-study, humorous, narrative-driven",3.9,283,2011,2024/12/08,"Yearbook, A Life in Parts, Seth Rogen",37,"Personal, candid memoir. If you like Seth Rogen, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,"There's Just One Problem...: True Tales from the Former, One-Time, 7th Most Powerful Person in WWE",Brian Gewirtz,nonfiction,"humor, memoir, narrative nonfiction","conversational, character-study, humorous, narrative-driven",3.9,288,2022,2023/03/19,"Yearbook, A Life in Parts, Seth Rogen",37,"Personal, candid memoir. If you like Seth Rogen, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Comedy Comedy Comedy Drama,Bob Odenkirk,nonfiction,"memoir, humor, narrative nonfiction","conversational, character-study, humorous, narrative-driven",3.8,284,2022,2021/12/28,"Yearbook, A Life in Parts, Seth Rogen",37,"Personal, candid memoir. If you like Seth Rogen, this hits the same notes.",Modest rating (3.8/5).,
to-read,Sunshine Girl: An Unexpected Life,Julianna Margulies,nonfiction,"memoir, narrative nonfiction","character-study, narrative-driven, accessible, personal",3.8,229,2021,2021/09/07,"A Life in Parts, Yearbook, Bryan Cranston",37,"Personal, candid memoir. If you like Bryan Cranston, this hits the same notes.",Modest rating (3.8/5).,
to-read,Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,nonfiction,"history, narrative nonfiction","narrative-driven, accessible, dense",4.2,184,2005,2021/08/30,"I Wear the Black Hat: Grappling with Villains (Real and Imagined), Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto, Chuck Klosterman",37,"Narrative nonfiction — reads like a novel about history. If you like Chuck Klosterman, this hits the same notes.",Short at 184 pages — may feel slight.,
to-read,Built from Scratch: How a Couple of Regular Guys Grew The Home Depot from Nothing to $30 Billion,Bernie Marcus,nonfiction,"business, biography, narrative nonfiction","narrative-driven, accessible, character-study",4.2,352,1999,2020/11/29,"Shoe Dog, That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea, Phil Knight",37,"In-depth biography. If you like Phil Knight, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,nonfiction,"psychology, business, narrative nonfiction","accessible, narrative-driven, dense",4,307,2021,2021/02/06,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed, Educated, Lori Gottlieb",37,"Narrative nonfiction — reads like a novel about psychology. If you like Lori Gottlieb, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Downtown Owl,Chuck Klosterman,fiction,"literary, contemporary","humorous, conversational, accessible, character-driven",3.6,275,2008,2020/07/08,"Little Children, Tracy Flick Can't Win, Tom Perrotta",37,"Rich character work and atmospheric prose. If you like Tom Perrotta, this hits the same notes.",Below-average community rating (3.6/5) — may underdeliver. Character-driven literary fiction — light on plot momentum.,
candidate pool,Destiny of the Republic,Candice Millard,nonfiction,"narrative nonfiction, history, political, biography",,4.24,339,2011,,"Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission, The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War, David Grann",37,"In-depth biography. If you like David Grann, this hits the same notes.",No obvious red flags — depends on your mood.,
